Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
1,1416,1417,316.4800109863281,321.8800048828125,,,4.761633880615235,0.6383600158691406,0.015045607037788318,2023-08-18,2023-08-21,3 days,
65,1417,1439,321.8800048828125,319.5299987792969,,,-194.44204696655274,41.69165023803711,-0.009293575437426805,2023-08-21,2023-09-21,31 days,
2,1439,1440,319.5299987792969,317.010009765625,,,-6.3130580444335935,1.2730800170898438,-0.009878662517684485,2023-09-21,2023-09-22,1 days,
65,1440,1441,317.010009765625,317.5400085449219,,,-6.795830535888669,41.245751190185544,-0.0003298042200338795,2023-09-22,2023-09-25,3 days,
2,1441,1442,317.5400085449219,312.1400146484375,,,-12.05934783935547,1.2593600463867187,-0.01898870617062648,2023-09-25,2023-09-26,1 days,
66,1442,1443,312.1400146484375,312.7900085449219,,,1.654215637207031,41.24538153076172,8.029689278783768e-05,2023-09-26,2023-09-27,1 days,
2,1443,1444,312.7900085449219,313.6400146484375,,,0.4471521606445312,1.2528600463867188,0.0007147801215337006,2023-09-27,2023-09-28,1 days,
66,1444,1445,313.6400146484375,315.75,,,97.71929223632813,41.53974096679688,0.004720683802332041,2023-09-28,2023-09-29,1 days,
2,1445,1446,315.75,321.79998779296875,,,10.824875610351562,1.2750999755859376,0.017141529074190955,2023-09-29,2023-10-02,3 days,
64,1446,1447,321.79998779296875,313.3900146484375,,,-578.89044140625,40.652160156250005,-0.028108028247632807,2023-10-02,2023-10-03,1 days,
4,1447,1448,313.3900146484375,318.9599914550781,,,19.750507202148437,2.5294000244140626,0.015755533264440937,2023-10-03,2023-10-04,1 days,
63,1448,1449,318.9599914550781,319.3599853515625,,,-15.014543060302735,40.21415853881836,-0.0007471974125501457,2023-10-04,2023-10-05,1 days,
3,1449,1498,319.3599853515625,365.9299926757813,,,137.65415203857438,2.0558699340820317,0.14367710248884175,2023-10-05,2023-12-14,70 days,
55,1498,1499,365.9299926757813,370.7300109863281,,,223.48470687865898,40.516300201416016,0.011104195852251118,2023-12-14,2023-12-15,1 days,
2,1499,1500,370.7300109863281,372.6499938964844,,,2.353205810546875,1.486760009765625,0.0031737460426878293,2023-12-15,2023-12-18,3 days,
55,1500,1557,372.6499938964844,415.2799987792969,,,2301.3141189575194,43.33614959716797,0.11228250523401247,2023-12-18,2024-03-12,85 days,
-16,1557,1580,415.2799987792969,413.6400146484375,,,12.97702587890625,13.26272021484375,0.0019530536501053048,2024-03-12,2024-04-15,34 days,
52,1580,1582,413.6400146484375,411.8399963378906,,,-136.52591271972656,42.92496057128906,-0.006347302554286653,2024-04-15,2024-04-17,2 days,
1,1582,1583,411.8399963378906,404.2699890136719,,,-8.386117309570313,0.8161099853515625,-0.02036256163592714,2024-04-17,2024-04-18,1 days,
53,1583,1584,404.2699890136719,399.1199951171875,,,-315.5293456726074,42.579669158935545,-0.014726257309230785,2024-04-18,2024-04-19,1 days,
1,1584,1585,399.1199951171875,400.9599914550781,,,1.0399163513183594,0.8000799865722656,0.002605523060835335,2024-04-19,2024-04-22,3 days,
53,1585,1588,400.9599914550781,399.0400085449219,,,-144.15909423828126,42.4,-0.006783676596474094,2024-04-22,2024-04-25,3 days,
1,1588,1589,399.0400085449219,406.3200073242187,,,6.474638763427677,0.8053600158691405,0.016225537852800974,2024-04-25,2024-04-26,1 days,
52,1589,1590,406.3200073242187,402.25,,,-253.6860212402314,42.045640380859375,-0.012006736669627257,2024-04-26,2024-04-29,3 days,
2,1590,1591,402.25,389.3299865722656,,,-27.423186828613282,1.5831599731445314,-0.03408724279504448,2024-04-29,2024-04-30,1 days,
53,1591,1592,389.3299865722656,394.94000244140625,,,255.76453164672853,41.56630941772461,0.012395001789134451,2024-04-30,2024-05-01,1 days,
2,1592,1593,394.94000244140625,397.8399963378906,,,4.214427795410156,1.585559997558594,0.005335529155514371,2024-05-01,2024-05-02,1 days,
52,1593,1638,397.8399963378906,459.5400085449219,,,3163.8168745117187,44.58376025390625,0.15293241695707743,2024-05-02,2024-07-09,68 days,
-15,1638,1647,459.5400085449219,442.94000244140625,,,235.46289138793946,13.537200164794921,0.03415921530365472,2024-07-09,2024-07-22,13 days,
50,1647,1649,442.94000244140625,428.8999938964844,,,-745.5924270629882,43.59199981689453,-0.033665617146946145,2024-07-22,2024-07-24,2 days,
2,1649,1650,428.8999938964844,418.3999938964844,,,-22.694599975585938,1.6945999755859376,-0.026456750173168904,2024-07-24,2024-07-25,1 days,
51,1650,1651,418.3999938964844,425.2699890136719,,,307.3425818481445,43.02716912841797,0.014403262959340033,2024-07-25,2024-07-26,1 days,
1,1651,1652,425.2699890136719,426.7300109863281,,,0.60802197265625,0.852,0.0014297316724991298,2024-07-26,2024-07-29,3 days,
51,1652,1653,426.7300109863281,422.9200134277344,,,-237.64202673339844,43.33215124511719,-0.010919427888930675,2024-07-29,2024-07-30,1 days,
1,1653,1654,422.9200134277344,418.3500061035156,,,-5.41127734375,0.84127001953125,-0.012795037292967118,2024-07-30,2024-07-31,1 days,
52,1654,1655,418.3500061035156,417.1099853515625,,,-107.92499865722657,43.44391955566407,-0.004961110823779104,2024-07-31,2024-08-01,1 days,
1,1655,1656,417.1099853515625,408.489990234375,,,-9.445595092773438,0.8255999755859376,-0.022645334382997796,2024-08-01,2024-08-02,1 days,
53,1656,1661,408.489990234375,406.0199890136719,,,-174.0790935974121,43.169028900146486,-0.008040616119055127,2024-08-02,2024-08-09,7 days,
1,1661,1662,406.0199890136719,406.80999755859375,,,-0.022821441650390684,0.8128299865722657,-5.620768008448391e-05,2024-08-09,2024-08-12,3 days,
53,1662,1723,406.80999755859375,420.1799926757813,,,664.7792717285186,43.830469482421876,0.03083258819160803,2024-08-12,2024-11-06,86 days,
-53,1723,1758,420.1799926757813,430.5299987792969,,,-593.6379530334443,45.08762954711914,-0.02665694771338948,2024-11-06,2024-12-27,51 days,
51,1758,1814,430.5299987792969,391.260009765625,,,-2044.6807301330566,41.91129043579102,-0.09312191748749453,2024-12-27,2025-03-21,84 days,
-51,1814,2008,391.260009765625,487.1000061035156,,,-4932.636174041748,44.796360809326174,-0.24719714241099308,2025-03-21,2025-12-29,283 days,
