combo_index,buy_pullback_rsi,sell_overbought_rsi,min_atr,extreme_setup_rsi,extreme_setup_rel_vol,return_pct,max_drawdown_pct,max_drawdown_abs,win_rate_pct,profit_factor,sharpe_ratio,trade_count
131,46.0,70.0,2.5,30.0,1.0,11.772825853912247,-10.130297965520974,10.130297965520974,44.09448818897638,1.3480313247333289,0.36235966718673335,127
132,46.0,70.0,2.5,30.0,1.1,11.772825853912247,-10.130297965520974,10.130297965520974,44.09448818897638,1.3480313247333289,0.36235966718673335,127
133,46.0,70.0,2.5,35.0,0.9,11.772825853912247,-10.130297965520974,10.130297965520974,44.09448818897638,1.3480313247333289,0.36235966718673335,127
134,46.0,70.0,2.5,35.0,1.0,11.772825853912247,-10.130297965520974,10.130297965520974,44.09448818897638,1.3480313247333289,0.36235966718673335,127
135,46.0,70.0,2.5,35.0,1.1,11.772825853912247,-10.130297965520974,10.130297965520974,44.09448818897638,1.3480313247333289,0.36235966718673335,127
136,46.0,70.0,3.5,25.0,0.9,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
137,46.0,70.0,3.5,25.0,1.0,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
138,46.0,70.0,3.5,25.0,1.1,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
139,46.0,70.0,3.5,30.0,0.9,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
140,46.0,70.0,3.5,30.0,1.0,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
141,46.0,70.0,3.5,30.0,1.1,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
142,46.0,70.0,3.5,35.0,0.9,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
143,46.0,70.0,3.5,35.0,1.0,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
144,46.0,70.0,3.5,35.0,1.1,22.955588869605855,-10.242933378736229,10.242933378736229,45.45454545454545,1.443008047772295,0.5407587784107758,132
145,46.0,74.0,0.5,25.0,0.9,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
146,46.0,74.0,0.5,25.0,1.0,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
147,46.0,74.0,0.5,25.0,1.1,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
148,46.0,74.0,0.5,30.0,0.9,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
149,46.0,74.0,0.5,30.0,1.0,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
150,46.0,74.0,0.5,30.0,1.1,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
151,46.0,74.0,0.5,35.0,0.9,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
152,46.0,74.0,0.5,35.0,1.0,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
